name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L2_1024_1024_BF_t42_stage2,"[1024, 1024]",gelu,0.1,False,0.002,-,-,-,192,200,0.9971918854743812,0.6965283155441284,965.2
L3_1024_512_2048_BF_t8_stage2,"[1024, 512, 2048]",gelu,0.2,True,0.002,-,-,-,192,200,0.9738497024528779,0.7038426995277405,1212.4
L2_256_2048_BF_t60_stage2,"[256, 2048]",gelu,0.2,True,0.002,-,-,-,128,200,0.9706059776014263,0.7051188945770264,1398.8
L2_1024_1024_BF_t27_stage2,"[1024, 1024]",gelu,0.0,False,0.002,-,-,-,256,95,1.0249899485908096,0.6864264011383057,435.7
L2_512_2048_BF_t30_stage2,"[512, 2048]",leakyrelu,0.1,True,0.003,-,-,-,192,200,1.009163720472683,0.691718578338623,1208.6
