name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L3_2048_2048_512_BF_t50,"[2048, 2048, 512]",gelu,0.2,True,0.001,-,-,-,192,50,1.071522897655757,nan,222.5
L2_1024_256_BF_t51,"[1024, 256]",relu,0.2,True,0.001,-,-,-,256,50,1.1360859097628797,nan,200.1
L1_1024_BF_t52,[1024],tanh,0.1,False,0.003,-,-,-,192,50,1.116440626905942,nan,248.6
L3_1024_2048_512_BF_t53,"[1024, 2048, 512]",relu,0.0,True,0.003,-,-,-,256,50,1.048311141086352,nan,213.4
L1_256_BF_t54,[256],gelu,0.1,True,0.003,-,-,-,256,50,1.0965780865374803,nan,199.0
L1_2048_BF_t55,[2048],tanh,0.1,False,0.002,-,-,-,128,50,1.1142180799998336,nan,356.5
L1_256_BF_t56,[256],tanh,0.0,True,0.003,-,-,-,128,50,1.1191511958228075,nan,216.2
L2_512_2048_BF_t57,"[512, 2048]",gelu,0.0,False,0.001,-,-,-,128,45,1.0706374125715634,nan,321.0
L2_2048_256_BF_t58,"[2048, 256]",leakyrelu,0.0,True,0.002,-,-,-,256,50,1.085537902668663,nan,200.1
L3_1024_512_256_BF_t59,"[1024, 512, 256]",gelu,0.2,False,0.003,-,-,-,256,50,1.404412371817348,nan,200.9
L2_256_2048_BF_t60,"[256, 2048]",gelu,0.2,True,0.002,-,-,-,128,50,1.026921599214204,nan,358.0
L1_1024_BF_t61,[1024],tanh,0.2,True,0.001,-,-,-,256,50,1.1416393951645563,nan,234.2
L1_512_BF_t62,[512],leakyrelu,0.2,True,0.003,-,-,-,256,50,1.0750753762455862,nan,210.4
L1_2048_BF_t63,[2048],tanh,0.1,True,0.001,-,-,-,128,50,1.097625443410282,nan,356.5
L2_512_1024_BF_t64,"[512, 1024]",tanh,0.2,False,0.001,-,-,-,192,50,1.0756150760628256,nan,249.5
L1_512_BF_t65,[512],gelu,0.1,False,0.001,-,-,-,128,50,1.0711991082411103,nan,232.5
L2_512_1024_BF_t66,"[512, 1024]",relu,0.0,True,0.002,-,-,-,192,50,1.055641720489172,nan,249.6
L2_2048_1024_BF_t67,"[2048, 1024]",tanh,0.1,True,0.001,-,-,-,128,50,1.0648497870373639,nan,279.3
L1_512_BF_t68,[512],leakyrelu,0.2,True,0.001,-,-,-,192,50,1.1021272882374589,nan,218.2
L2_2048_1024_BF_t69,"[2048, 1024]",leakyrelu,0.2,False,0.002,-,-,-,128,50,1.1126284529369148,nan,277.2
L1_2048_BF_t70,[2048],gelu,0.1,False,0.001,-,-,-,192,50,1.0765971970805936,nan,308.5
L1_1024_BF_t71,[1024],gelu,0.2,False,0.002,-,-,-,256,50,1.060893944953857,nan,233.2
L1_512_BF_t72,[512],leakyrelu,0.0,True,0.002,-,-,-,128,50,1.0673779227611326,nan,233.1
L2_1024_2048_BF_t73,"[1024, 2048]",relu,0.2,False,0.003,-,-,-,192,50,1.131107003625671,nan,310.0
L3_512_512_1024_BF_t74,"[512, 512, 1024]",relu,0.1,True,0.001,-,-,-,128,50,1.0430204315230305,nan,278.9
L1_2048_BF_t75,[2048],leakyrelu,0.0,True,0.001,-,-,-,192,50,1.1049264497577924,nan,309.2
L2_2048_512_BF_t76,"[2048, 512]",tanh,0.2,True,0.001,-,-,-,128,50,1.1085397905045373,nan,237.2
L1_1024_BF_t77,[1024],tanh,0.2,True,0.001,-,-,-,256,50,1.1377674116610361,nan,233.4
L3_2048_512_256_BF_t78,"[2048, 512, 256]",leakyrelu,0.0,True,0.002,-,-,-,192,50,1.0634422196744073,nan,209.3
L1_256_BF_t79,[256],gelu,0.1,False,0.002,-,-,-,128,50,1.0824527235347634,nan,213.1
L2_2048_512_BF_t80,"[2048, 512]",tanh,0.1,True,0.003,-,-,-,256,50,1.0773858183228726,nan,211.8
L3_2048_256_2048_BF_t81,"[2048, 256, 2048]",relu,0.2,True,0.001,-,-,-,128,50,1.0495695762493609,nan,359.3
L1_256_BF_t82,[256],relu,0.1,False,0.003,-,-,-,192,50,1.0903374942165072,nan,202.5
L2_256_2048_BF_t83,"[256, 2048]",relu,0.2,False,0.003,-,-,-,256,50,1.0988127431971813,nan,279.7
L1_256_BF_t84,[256],gelu,0.1,False,0.002,-,-,-,192,50,1.1030387102738348,nan,202.4
L1_1024_BF_t85,[1024],relu,0.2,False,0.002,-,-,-,128,50,1.0719767785935526,nan,273.7
L1_512_BF_t86,[512],leakyrelu,0.2,False,0.003,-,-,-,192,50,1.0828956686087674,nan,217.4
L1_2048_BF_t87,[2048],gelu,0.2,True,0.001,-,-,-,256,50,1.0709656028191274,nan,279.7
L1_1024_BF_t88,[1024],tanh,0.2,True,0.003,-,-,-,256,50,1.1195303900226665,nan,233.6
L3_2048_1024_512_BF_t89,"[2048, 1024, 512]",relu,0.1,True,0.003,-,-,-,192,50,1.0475664376972746,nan,221.4
L2_256_512_BF_t90,"[256, 512]",leakyrelu,0.2,False,0.002,-,-,-,256,50,1.106315016786484,nan,209.6
L1_1024_BF_t91,[1024],gelu,0.2,False,0.001,-,-,-,192,50,1.066361996138851,nan,247.7
L2_1024_2048_BF_t92,"[1024, 2048]",gelu,0.0,True,0.001,-,-,-,256,50,1.0703047994715313,nan,281.0
L3_256_512_512_BF_t93,"[256, 512, 512]",gelu,0.1,True,0.002,-,-,-,256,50,1.062335907313954,nan,210.8
L1_256_BF_t94,[256],leakyrelu,0.0,False,0.003,-,-,-,128,50,1.0647911926343703,nan,212.1
L3_1024_1024_1024_BF_t95,"[1024, 1024, 1024]",tanh,0.0,True,0.002,-,-,-,192,50,1.0764859500364534,nan,251.5
L3_1024_1024_1024_BF_t96,"[1024, 1024, 1024]",relu,0.0,False,0.002,-,-,-,192,50,1.0587299851575156,nan,250.5
L3_512_256_2048_BF_t97,"[512, 256, 2048]",relu,0.1,False,0.003,-,-,-,192,50,1.1140081141564897,nan,309.5
L3_1024_1024_1024_BF_t98,"[1024, 1024, 1024]",gelu,0.2,False,0.002,-,-,-,192,50,1.1047924661092858,nan,246.2
L2_512_2048_BF_t99,"[512, 2048]",leakyrelu,0.1,False,0.003,-,-,-,256,50,1.0714469153010682,nan,280.2
