name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L1_512_t53_stage2,[512],tanh,0.0,True,0.003,-,-,-,128,200,0.8434340255475468,0.7440778613090515,243.9
L1_1024_t25_stage2,[1024],leakyrelu,0.0,True,0.003,-,-,-,256,200,0.8438813534911511,0.744400680065155,255.0
L1_1024_t41_stage2,[1024],leakyrelu,0.1,True,0.001,-,-,-,128,200,0.8595923408141601,0.7417506575584412,445.4
L1_1024_t5_stage2,[1024],leakyrelu,0.1,True,0.002,-,-,-,192,200,0.8574375453868089,0.7421675324440002,323.8
L1_1024_t56_stage2,[1024],gelu,0.2,True,0.001,-,-,-,128,200,0.8416959040723628,0.7462005615234375,445.2
