name,hidden,act,dropout,batchnorm,lr,momentum,step_size,gamma,batch_size,epochs_trained,val_mse,val_pearson,train_time_sec
L1_256_t76,[256],relu,0.2,False,0.003,-,-,-,256,30,1.326415437601814,0.5960317254066467,12.7
L1_256_t77,[256],gelu,0.0,False,0.002,-,-,-,192,50,1.0736341201495772,0.6691157221794128,25.3
L3_256_2048_256_t78,"[256, 2048, 256]",tanh,0.0,True,0.003,-,-,-,128,50,0.9174233912782225,0.7192473411560059,41.2
L3_512_256_1024_t79,"[512, 256, 1024]",tanh,0.1,False,0.001,-,-,-,192,50,1.039540477499161,0.6823745965957642,74.2
L2_256_1024_t80,"[256, 1024]",gelu,0.2,False,0.001,-,-,-,192,30,1.4006707473685187,0.5569822788238525,41.8
L2_1024_256_t81,"[1024, 256]",tanh,0.1,True,0.001,-,-,-,128,50,0.9511744323050141,0.7101830840110779,51.7
L1_1024_t82,[1024],leakyrelu,0.0,False,0.001,-,-,-,128,50,1.0228160584568378,0.6867465972900391,111.3
L1_1024_t83,[1024],leakyrelu,0.2,False,0.003,-,-,-,192,30,1.9146187480487882,0.5033274292945862,48.5
L2_256_512_t84,"[256, 512]",tanh,0.1,True,0.003,-,-,-,192,50,0.9271672110289005,0.7181586623191833,40.2
L2_512_1024_t85,"[512, 1024]",tanh,0.0,True,0.003,-,-,-,256,50,0.8921548876832724,0.7264097929000854,58.9
L1_512_t86,[512],leakyrelu,0.0,True,0.001,-,-,-,192,50,0.91826674211277,0.7227474451065063,44.2
L3_2048_1024_512_t87,"[2048, 1024, 512]",tanh,0.0,True,0.003,-,-,-,128,50,0.903350087008219,0.727514922618866,94.9
L3_1024_2048_1024_t88,"[1024, 2048, 1024]",gelu,0.1,True,0.002,-,-,-,128,50,0.897258491812638,0.7276387214660645,114.2
L1_256_t89,[256],gelu,0.2,True,0.001,-,-,-,128,50,0.9792155105916598,0.7041077017784119,34.2
L3_512_256_1024_t90,"[512, 256, 1024]",gelu,0.1,True,0.001,-,-,-,256,50,0.9501150283604071,0.7149238586425781,59.2
L2_2048_1024_t91,"[2048, 1024]",relu,0.2,False,0.003,-,-,-,256,30,2.583042815672324,0.0,45.5
L1_512_t92,[512],gelu,0.2,False,0.001,-,-,-,256,50,0.9874442614367693,0.703294038772583,36.0
L3_2048_512_512_t93,"[2048, 512, 512]",relu,0.1,True,0.002,-,-,-,256,50,0.9533121335478465,0.711844801902771,53.7
L1_256_t94,[256],gelu,0.1,True,0.002,-,-,-,192,50,0.9468422570046345,0.714396059513092,25.5
L2_512_1024_t95,"[512, 1024]",leakyrelu,0.0,True,0.001,-,-,-,256,50,0.9012799644246423,0.7267693281173706,58.9
L2_1024_2048_t96,"[1024, 2048]",relu,0.1,True,0.002,-,-,-,128,50,0.8909714268511109,0.7308285236358643,191.3
L1_2048_t97,[2048],relu,0.0,False,0.001,-,-,-,192,50,0.939791452413112,0.7148259282112122,153.3
L2_512_1024_t98,"[512, 1024]",gelu,0.2,True,0.001,-,-,-,256,50,0.9606386747409783,0.7161678671836853,58.8
L2_512_256_t99,"[512, 256]",leakyrelu,0.0,True,0.001,-,-,-,256,50,0.9752834567558514,0.7018796801567078,24.9
